ARTNOARTICLE;ARTSORT;ARTPRESENTATION;ARTSIZE;ARTVARIETY;ARTSPECIES;ARTFAMILYCODE;TMARUPTURECOLONNE;ARTCRITERIA1;ARTCRITERIA2;ARTCRITERIA3;LIBCRITERIA1;LIBCRITERIA2;LIBCRITERIA3;LIBCRITERIA4;LIBCRITERIA5;LIBCRITERIA6;LIBCRITERIA7;LIBCRITERIA8;LIBCRITERIA9;ARTCRITERIA4;ARTCRITERIA5;ARTCRITERIA6;ARTCRITERIA7;ARTCRITERIA8;ARTCRITERIA9;ARTCONDITIONNEMENT;ARTTYPE;FAMDESIGNATION;LIBSIZE;LIBPRESENTATION;LIBCONDITIONNEMENT;COSNOCOSTIDENT;COSCATEGORY;CUSNOCUSTOMER;CUSNAME;CUSSOCIALREASON;CUSADDRESS1;CUSADDRESS2;CUSZIPCODE;CUSCITY;ARTBOTADESIGN;ARTLOCALNAME;UNVCONTENANCE;TmqQuantity;TmqPrix;TmqFolio;
101852;0ALBL FP;;024;;alisier fertil pot;0;:0;0;;;pas tarif;;;;non;;;;;;0;;;;;;0;FERTIL-POTS;20/40;;;1;1;;;;;;;;Sorbus aria fertil-pot;Alisier blanc;0,00;0,00;4,00;1;
100000;X0ALMOS1;;;15 25;alisier de mougeot f;0;:0;0;;;pas tarif;;;;non;;;;;;0;;;;;;0;FERTIL-POTS;;;;1;1;;;;;;;;ALISIER MOUGEOT F-POT   15/25;sorbus aria;0,00;0,00;4,00;1;
100002;0EPCO FP 504;;023;;epicea commun fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;20/35;;;1;1;;;;;;;;Picea abies 'Exelsa' 504 fertil pot;Epicéa commun;0,00;0,00;2,85;1;
100003;0EPCO FP 502;;023;;epicea  commun fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;20/35;;;1;1;;;;;;;;Picea abies 'Exelsa' 502 fertil pot;Epicéa commun;0,00;0,00;2,85;1;
100004;0EPCO ALT FP 505;;023;;epicea commun altitude fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;20/35;;;1;1;;;;;;;;Picea abies 'Exelsa' 505 fertil pot;Epicéa commun altitude;0,00;0,00;2,85;1;
100005;X0EP  R2 10;;;20 35;epicea alt f pot 10;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;;;;1;1;;;;;;;;EPICEA ALT.  F-POT RP10 20/35;;0,00;0,00;3,50;1;
100006;X0EP  S3 12;;;20 30;epicea alt f pot 12;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;;;;1;1;;;;;;;;EPICEA ALT. F.POT  RP12 20/30;;0,00;0,00;3,50;1;
100007;0EPCO HALT FP 506;;023;;epicea commun haute alti fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;20/35;;;1;1;;;;;;;;Picea abies 'Exelsa' 506 fertil pot;Epicéa commun haute altitude;0,00;0,00;3,50;1;
100008;0EPCO HALT FP 503;;023;;epicea commun haute alti fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;20/35;;;1;1;;;;;;;;Picea abies 'Exelsa' 503 fertil pot;Epicéa commun haute altitude;0,00;0,00;3,50;1;
101898;0EPPU 20 FP;;023;;epicea de pungens fertil pot;0;:0;0;;N;pas tarif;;NON;;non;;;;;;0;;;;;;0;FERTIL-POTS;20/35;;;1;1;;;;;;;;Picea pungens fertil pot;Epicéa du Colorado;0,00;0,00;3,50;1;
100009;0EPPU 15 FP;;012;;epicea de pungens fertil pot;0;:0;0;;N;pas tarif;;NON;;non;;;;;;0;;;;;;0;FERTIL-POTS;10/20;;;1;1;;;;;;;;Picea pungens fertil pot;Epicéa du Colorado;0,00;0,00;3,50;1;
100010;0ERPL 25 FP;;O24;;erable plane fertil pot;0;:0;0;;;pas tarif;;;;non;;;;;;0;;;;;;0;FERTIL-POTS;25/40;;;1;1;;;;;;;;Acer platanoides fertil pot;Erable plane;0,00;0,00;2,90;1;
100011;0ERSY 25 FP 500;;O24;;erable sycomore fertil pot;0;:0;0;;;pas tarif;;;;non;;;;;;0;;;;;;0;FERTIL-POTS;25/40;;;1;1;;;;;;;;Acer pseudoplatanus fertil pot;Erable sycomore;0,00;0,00;3,50;1;
100012;0FRCO FP;;O24;;frene fertil pot;0;:0;0;;;pas tarif;;;;non;;;;;;0;;;;;;0;FERTIL-POTS;25/40;;;1;1;;;;;;;;Fraxinus exelsior fertil pot;Frêne commun;0,00;0,00;2,90;1;
100013;0HE FP;;O24;;hetre fertil pot;0;:0;0;;;pas tarif;;;;non;;;;;;0;;;;;;0;FERTIL-POTS;25/40;;;1;1;;;;;;;;Fagus sylvatica fertil pot;Hêtre vert;0,00;0,00;2,90;1;
100014;0ME FP;;024;;merisier fertil pot;0;:0;0;;;pas tarif;;;;non;;;;;;0;;;;;;0;FERTIL-POTS;20/40;;;1;1;;;;;;;;Prunus avium fertil pot;Merisier;0,00;0,00;2,90;1;
100015;0MEEU FP 502;;O24;;meleze d europe fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;25/40;;;1;1;;;;;;;;Larix decidua 502 fertil pot;Mélèze d'Europe;0,00;0,00;3,50;1;
100016;0MEEU FP 504;;O24;;meleze d europe fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;25/40;;;1;1;;;;;;;;Larix decidua 504 fertil pot;Mélèze d'Europe;0,00;0,00;3,50;1;
100017;0PICE FP 501;;012;;pin cembro fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;10/20;;;1;1;;;;;;;;Pinus cembra 501 fertil pot;Pin cembro - arolle;0,00;0,00;4,00;1;
100018;0PICE FP TY;;023;;pin cembro fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;20/35;;;1;1;;;;;;;;Pinus cembra Tyrol fertil pot;pin cembro - arolle;0,00;0,00;4,50;1;
100019;0PICE FP BRI;;023;;pin cembro fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;20/35;;;1;1;;;;;;;;Pinus cembra briançonnais fertil pot;Pin cembro - arolle;0,00;0,00;4,50;1;
100020;0PICE FP TY;;008;;pin cembro fertil pot;0;:0;0;;O;pas tarif;;OUI;;non;;;;;;0;;;;;;0;FERTIL-POTS;8/12;;;1;1;;;;;;;;Pinus cembra Tyrol fertil pot;pin cembro - arolle;0,00;0,00;3,00;1;
